Data,ETH,BNB,SOL,AVAX,TIA,OM,NEAR,SEI,ARB,GMX,FLOKI,MANTA,FET,NOT,ATH,GALA,VENOM,FOXY,SHRAP,COREUM,ASTER,FITFI,UOS,BRISE,NATIX,SOIL,SENATE,MUBI,LUNC,TOKEN,GNS,RSR,WOO,AXS,L3,MORE,RIZ,LINGO,LUMIA,ZEUS,SIDUS,MLC,CARV,MXNA,0g,BLUAI
08/09/2025,4304.03,879.44,215.77,25.6,1.73,0.2149,2.561,0.308,0.5073,14.47,9.774e-05,0.2059,0.651,0.001985,0.04138119,0.01695211,0.151454,0.00260299,0.00369467,0.13534,0.073,0.0014,0.036,5.3e-08,0.00075,0.2088,0.00766,0.00338,5.9e-05,0.0125,2.22,0.0076,0.069,2.492,0.03721402,0.1,0.002,0.027,0.31,0.13,0.00052468,0.32,0.29,0.0025,,
09/09/2025,4309.6857,879.46,215.75,25.61,1.732,0.215,2.562,0.3085,0.5077,14.47,9.792e-05,0.2061,0.652,0.001986,0.04138119,0.01695211,0.151454,0.00260299,0.00369467,0.13534,0.073,0.0014,0.036,5.3e-08,0.00075,0.2088,0.00766,0.00338,5.9e-05,0.0125,2.22,0.0076,0.069,2.493,0.03721402,0.1,0.002,0.027,0.31,0.13,0.00052468,0.32,0.29,0.0025,,
10/09/2025,4309.3427,878.23,215.95,25.99,1.804,0.2133,2.65,0.3073,0.5156,14.52,9.603e-05,0.2036,0.644,0.001977,0.0431984,0.01679028,0.149358,0.00257849,0.0036814,0.13534,0.073,0.0014,0.036,5.3e-08,0.00075,0.2088,0.00766,0.00338,5.9e-05,0.0125,2.223,0.007642,0.069,2.473,0.03721402,0.1,0.002,0.027,0.31,0.13,0.00052468,0.32,0.29,0.0025,,
11/09/2025,4347.4768,897.1,222.84,28.95,1.776,0.2185,2.707,0.3202,0.5161,15.01,9.783e-05,0.2073,0.659,0.001989,0.0431885,0.01731395,0.14813,0.00268855,0.00395908,0.13534,0.073,0.0014,0.036,5.3e-08,0.00075,0.2088,0.00766,0.00338,5.9e-05,0.0125,2.334,0.007761,0.069,2.56,0.03721402,0.1,0.002,0.027,0.31,0.13,0.00052468,0.390313,0.311283,0.00306945,,
12/09/2025,4459.319,895.85,227.0,28.93,1.769,0.2131,2.709,0.3224,0.5182,14.93,9.7e-05,0.2035,0.661,0.00199,0.0463271,0.01717431,0.152637,0.00244656,0.00368828,0.137568,0.092203,0.00140252,0.03687309,5.759e-08,0.00072496,0.195091,0.00756908,0.003247,6.032e-05,0.01402938,2.356,0.007911,0.06911,2.507,0.03627028,0.098346,0.00173763,0.0269593,0.332774,0.138534,0.0005681,0.398027,0.30687,0.00315171,,
13/09/2025,4708.8417,924.58,241.54,28.64,1.838,0.2205,2.777,0.3425,0.5444,15.12,0.00010436,0.2196,0.68,0.001986,0.054875,0.01800921,0.160555,0.00234218,0.00378296,0.140097,0.091849,0.00142534,0.03710515,5.8666e-08,0.00074078,0.202965,0.00768467,0.00331925,6.097e-05,0.01479719,2.392,0.008118,0.071696,2.625,0.03755112,0.095992,0.00173736,0.02704032,0.342945,0.153249,0.00057606,0.399645,0.324207,0.00309283,,
14/09/2025,4667.6997,942.63,240.43,29.98,1.874,0.2233,2.84,0.3477,0.5487,15.54,0.00010814,0.2248,0.691,0.002018,0.053992,0.01850569,0.156715,0.00238792,0.00382519,0.144779,0.095364,0.0014676,0.04171846,5.8767e-08,0.00072604,0.214973,0.00810903,0.00375156,6.198e-05,0.01530194,2.48,0.008185,0.075058,2.671,0.03797178,0.096033,0.00181531,0.0270456,0.346181,0.157634,0.00060657,0.402874,0.321437,0.00347143,,
15/09/2025,4609.7861,928.97,245.39,29.71,1.778,0.2173,2.711,0.333,0.5161,15.22,0.00010186,0.2165,0.66,0.001914,0.060728,0.01748128,0.150628,0.00247359,0.00374903,0.137278,0.097591,0.00147841,0.03934642,5.7298e-08,0.00076795,0.229108,0.00792489,0.00348,6.021e-05,0.01441081,2.375,0.00772,0.071087,2.55,0.03763781,0.095886,0.00181796,0.02703431,0.335094,0.151126,0.00064442,0.398583,0.309681,0.00331465,,
16/09/2025,4524.2449,920.04,233.12,28.8,1.679,0.2033,2.608,0.3156,0.4899,14.9,9.459e-05,0.2041,0.636,0.001857,0.063344,0.0165545,0.149287,0.00238326,0.00363439,0.140782,0.096815,0.00140906,0.03802461,5.7741e-08,0.0007631,0.203181,0.00750192,0.00323435,5.828e-05,0.01343159,2.247,0.007369,0.066802,2.409,0.0359838,0.085578,0.00177323,0.02676902,0.312448,0.130494,0.00060707,0.401906,0.29573,0.00341412,,
17/09/2025,4504.2666,954.94,237.94,30.11,1.713,0.2121,2.706,0.3179,0.4967,15.32,9.743e-05,0.2159,0.643,0.00189,0.065467,0.01704332,0.149841,0.00232944,0.00359368,0.140411,0.095913,0.00142197,0.0370673,6.0605e-08,0.00094685,0.209851,0.00753806,0.00349758,6.062e-05,0.01397903,2.289,0.00751,0.069094,2.48,0.03545325,0.088172,0.00177002,0.0260057,0.331514,0.133045,0.00069236,0.437495,0.306103,0.00372334,,
